"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","prac_part","colIndex","allLocX","allLocY","test_part","mainExp_part","condType","xClicked","yClicked","responseCol","responseInd","responseError","correctCol","correctColIndex","probLocIndex"
"","null","html-keyboard-response","303","1439901","0.0-7.0-2.57","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","304","1441103","0.0-7.0-3.57","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","2239","continuous_report","305","1443345","0.0-7.0-4.57","","","","64,118,141","-163.83040885779835,123.13229506513166,17.431148549531578","114.71528727020927,157.60215072134437,-199.23893961834912","Probe","","null","670","302","155,108,186","74","10","115,119,189","64","0"
"","null","html-keyboard-response","306","1444346","0.0-7.0-0.58","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","307","1444449","0.0-7.0-1.58","","null","","54,36,133","-44.99021086877296,78.1462256978547,190.2113032590307","194.87401295704706,-184.1009706904881,-61.803398874989526","encoding","","","","","","","","","",""
"","null","html-keyboard-response","308","1444750","0.0-7.0-2.58","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","309","1445952","0.0-7.0-3.58","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","5019","continuous_report","310","1450972","0.0-7.0-4.58","","","","54,36,133","-44.99021086877296,78.1462256978547,190.2113032590307","194.87401295704706,-184.1009706904881,-61.803398874989526","Probe","","null","799","516","244,74,83","125","-8","235,84,66","133","2"
"","null","html-keyboard-response","311","1451976","0.0-7.0-0.59","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","312","1452079","0.0-7.0-1.59","","null","","106,6,147","194.0591452551993,153.2088886237956,-17.431148549531645","48.38437911993355,-128.5575219373079,199.23893961834912","encoding","","","","","","","","","",""
"","null","html-keyboard-response","313","1452380","0.0-7.0-2.59","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","314","1453582","0.0-7.0-3.59","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","3238","continuous_report","315","1456822","0.0-7.0-4.59","","","","106,6,147","194.0591452551993,153.2088886237956,-17.431148549531645","48.38437911993355,-128.5575219373079,199.23893961834912","Probe","","null","1011","370","109,136,83","9","3","116,135,77","6","1"
"[{""page_index"":0,""viewing_time"":5752}]","5752","instructions","316","1462574","0.0-8.0","","","","","","","","","","","","","","","","",""
